total_Amount_card_description_7,total_Amount_card_description_3,max_Amount_card_state_14,total_Amount_Cardnum_3,total_Amount_card_description_1,total_Amount_Cardnum_0,total_Amount_card_description_0,total_Amount_Cardnum_14,max_Amount_card_state_30,max_Amount_Cardnum_3,Fraud
-0.036522551961235855,-0.03584094216920192,-0.06955530083040527,-0.06894263869861578,-0.03533888937957531,-0.06889470699930973,-0.03916794578506088,-0.0716642824509786,-0.14314748774221822,-0.24487530108760502,
-0.03656934516029449,-0.03588775115794484,-0.3232300972709211,-0.07676848418328519,-0.035385726943609634,-0.0706154359306316,-0.03923321982898344,-0.11465179669247705,-0.378928751807739,-0.43580581176318417,
-0.03004147227294626,-0.02935767553485578,-0.2929339056035014,-0.06843210056501006,-0.028851664932033387,-0.06345916385649802,-0.030127181555435405,-0.09701445466401247,-0.2978599533641914,-0.3749660272049289,
-0.036637033833898915,-0.03595546267210747,-0.07906671047757147,-0.07632865924050318,-0.035453479793342645,-0.07001055344616113,-0.039327641957472216,-0.10694277562644484,-0.15198798834031252,-0.5167855679944178,
-0.03705969229630264,-0.036378263754460655,-0.4251448915037175,-0.038858541949608194,-0.03587653898133876,-0.018478647372453236,-0.03991722821347095,-0.06885979451060079,-0.39152627990225736,0.9696214322720416,
-0.03763374796973367,-0.036952513134627545,-0.4974252266765667,-0.07761694152643021,-0.036451138921169884,-0.07178230241719907,-0.04071800559128136,-0.11657149476547718,-0.5408366290648754,-0.5515108438283807,
-0.03659853550503877,-0.035916951352546314,-0.36707984836850227,-0.07679175240667543,-0.03541494496393416,-0.07064743625486168,-0.039273938819847164,-0.11577309375312717,-0.4196854603488278,-0.43897892418329454,
-0.03609197854635266,-0.03541022346358369,-0.303298392226566,-0.06448003572454276,-0.03490790773487514,-0.057042092330577235,-0.038567318587938576,-0.10025953064851661,-0.34187719858856735,-0.2772259049368866,
-0.037579989612493106,-0.03689873663741139,-0.4906564196435037,-0.07705118552647111,-0.036397329595236,-0.0717233690652005,-0.04064301551917006,-0.11602410489775247,-0.53454527532826,-0.48468275600440724,
0.02235203056205724,0.02305350672547873,1.1756341220645803,-0.029801045299714207,0.023591512567808552,-0.006022052614510533,0.04295899066851505,0.049679388346196354,1.0142096492331156,-0.3150829945477481,
-0.03683155170603438,-0.036150046181469116,-0.4252644817339836,-0.07649395952597611,-0.03587748967614324,-0.07115402707098122,-0.03991855312640578,-0.11417521736166025,-0.17588624016667825,-0.4892118405433067,
-0.0329143467445147,-0.032231519416121165,0.09680268215179996,-0.07385500986928399,-0.03172726319698795,-0.06660859272990982,-0.034134689873175986,-0.11293168666385117,0.011476054152029055,-0.03849221474359242,
-0.037399148778242165,-0.03671783478105173,-0.4678864398008325,-0.07742993769202497,-0.036216317304461926,-0.07152511976801808,-0.04039075209637869,-0.112004703483447,-0.5133814281294692,-0.526008931645064,
-0.02904076900106185,-0.028356634590210122,-0.3818213374193073,-0.07076730148338888,-0.027850012886027307,-0.062362128880072566,-0.028731253287299984,-0.08811767230234281,-0.43338712472927754,-0.451705789399746,
-0.03713675227364276,-0.0364553497345691,-0.4348476455193095,-0.06637495743981306,-0.03595367201980936,-0.05632142559271029,-0.040024722816250045,-0.1010943136263814,-0.19292995464749724,0.154282968662116,
-0.03705937569820346,-0.03689677306684166,-0.39629175528150906,-0.07757252496117338,-0.036427118032443216,-0.07175599412461078,-0.04068452945779469,-0.11046303600782907,-0.44683683854783685,-0.5489021461988323,
-0.02428647866531337,-0.02360073998835144,1.183152361207311,-0.0669775589995875,-0.023091214972693935,-0.057150171516751266,-0.02209926910072191,-0.10579207998426471,1.0630361860653401,0.8993930894902925,
-0.037195956118189204,-0.03651457355659161,0.2516640576644211,-0.051215078983954596,-0.036012931995955635,-0.07052859774058426,-0.040107309055854364,0.02239682099837199,0.3661631628085156,1.0988930686323304,
-0.036794256449951115,-0.03611273834064424,-0.39172340848534287,-0.07623356741215784,-0.03561085147331183,-0.07086199808174926,-0.039546959211950845,-0.11274127957184843,-0.44259073054891973,-0.45859577970892274,
-0.037096987552385906,-0.03641557159528553,-0.42984080121216756,-0.07718907877224578,-0.03591386959732823,-0.07119387129247376,-0.03996925312804522,-0.1161575217162576,-0.4780194257370917,-0.49316274407724026,
-0.03730866504149686,-0.03662732051188578,-0.4564934771974791,-0.07612121369140584,-0.03612574777942126,-0.07142592570440684,-0.04026453205745402,-0.11512432273049154,-0.5027920942194298,-0.3873556201684835,
